src_switch,dst_switch,weight,bw_mbps,type
s1,h1,1.0,10000.0,host-access
s1,s2,1.0,10000.0,access-access
s1,s8,1.0,10000.0,access-access
s1,s9,1.0,10000.0,access-core
s1,s10,1.0,10000.0,access-core
s2,h2,1.0,10000.0,host-access
s2,s3,1.0,10000.0,access-access
s2,s10,1.0,10000.0,access-core
s2,s9,1.0,10000.0,access-core
s3,h3,1.0,10000.0,host-access
s3,s4,1.0,10000.0,access-access
s3,s9,1.0,10000.0,access-core
s3,s10,1.0,10000.0,access-core
s4,h4,1.0,10000.0,host-access
s4,s5,1.0,10000.0,access-access
s4,s10,1.0,10000.0,access-core
s4,s9,1.0,10000.0,access-core
s5,h5,1.0,10000.0,host-access
s5,s6,1.0,10000.0,access-access
s5,s9,1.0,10000.0,access-core
s5,s10,1.0,10000.0,access-core
s6,h6,1.0,10000.0,host-access
s6,s7,1.0,10000.0,access-access
s6,s10,1.0,10000.0,access-core
s6,s9,1.0,10000.0,access-core
s7,h7,1.0,10000.0,host-access
s7,s8,1.0,10000.0,access-access
s7,s9,1.0,10000.0,access-core
s7,s10,1.0,10000.0,access-core
s8,h8,1.0,10000.0,host-access
s8,s10,1.0,10000.0,access-core
s8,s9,1.0,10000.0,access-core
s9,s10,1.0,10000.0,core-core
